macro,source_tile,rows,data_width,tile_rows,tile_cols,logical_tile_grid_rows,logical_tile_grid_cols,tile_grid_rows,tile_grid_cols,tile_slots,spare_tile_slots,bitcells,tile_width_um,tile_height_um,tile_area_um2,tile_area_per_bit_um2,tile_gap_um,array_width_um,array_height_um,control_left_um,control_right_um,control_bottom_um,control_top_um,width_um,height_um,area_um2,area_mm2,area_per_bit_um2,target_area_mm2,max_area_mm2,area_budget_status,drc_errors,magic,gds,lef,verilog,spice,behavioral_model,decode_contract,summary_md,drc_log
gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,512,8,4,4,128,2,16,16,256,0,4096,25.95,17.12,444.264,27.7665,0.2,418.2,276.92,48.0,0.0,40.0,24.0,466.2,340.92,158936.904,0.158936904,38.802955,0.16,0.2,pass_target,0,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/magic/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.mag,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.gds,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.lef,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.bb.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.spice,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.behavioral.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.decode_contract.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/summary.md,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control.drc.log
gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,512,32,4,4,128,8,32,32,1024,0,16384,25.95,17.12,444.264,27.7665,0.2,836.6,554.04,48.0,0.0,40.0,24.0,884.6,618.04,546718.184,0.546718184,33.36903,0.55,0.6,pass_target,0,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/magic/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.mag,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.gds,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.lef,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.bb.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.spice,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.behavioral.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.decode_contract.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/summary.md,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control.drc.log
gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,1024,8,4,4,256,2,32,16,512,0,8192,25.95,17.12,444.264,27.7665,0.2,418.2,554.04,48.0,0.0,40.0,24.0,466.2,618.04,288130.248,0.288130248,35.172149,0.31,0.35,pass_target,0,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/magic/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.mag,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.gds,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.lef,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.bb.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.spice,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.behavioral.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.decode_contract.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/summary.md,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control.drc.log
gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,1024,32,4,4,256,8,64,32,2048,0,32768,25.95,17.12,444.264,27.7665,0.2,836.6,1108.28,48.0,0.0,40.0,24.0,884.6,1172.28,1036998.888,1.036998888,31.646695,1.1,1.2,pass_target,0,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/magic/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.mag,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.gds,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.lef,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.bb.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.spice,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.behavioral.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.decode_contract.sv,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/summary.md,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control.drc.log
