macro,source_macro,source_tile,source_tile_magic,source_tile_magic_sha256,rows,data_width,physical_rows,groups_per_physical_row,bitcells,tile_grid_rows,tile_grid_cols,tile_width_um,tile_height_um,tile_gap_um,array_width_um,array_height_um,predecode_width_um,port_strip_width_um,row_edge_total_width_um,control_bottom_um,control_top_um,width_um,height_um,area_mm2,area_per_bit_um2,max_area_mm2,footprint_status,pin_count,drc_errors,magic,gds,lef,spice,verilog,behavioral_model,decode_contract,pins_json,drc_log,gds_log,summary_md
gf180mcu_3v3_12t_2r2w_sram_1024x32,gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x32_source_full_control/magic/detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct.mag,9f875833ebc6538d55e0890ff1ba4e3f87f20bbb3c218e718b1b9f2112401d4b,1024,32,256,4,32768,64,32,25.95,17.12,0.2,836.6,1108.28,16.0,37.84,167.36,40.0,24.0,1003.96,1172.28,1.176922229,35.916816,1.2,pass_max,175,0,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/magic/gf180mcu_3v3_12t_2r2w_sram_1024x32.mag,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32.gds,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.lef,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.spice,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.bb.sv,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.behavioral.sv,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.decode_contract.sv,macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.pins.json,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32.drc.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32.gds.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/summary.md
gf180mcu_3v3_12t_2r2w_sram_1024x8,gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_1024x8_source_full_control/magic/detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct.mag,9f875833ebc6538d55e0890ff1ba4e3f87f20bbb3c218e718b1b9f2112401d4b,1024,8,128,8,8192,32,16,25.95,17.12,0.2,418.2,554.04,16.0,37.84,167.36,40.0,24.0,585.56,618.04,0.361899502,44.177185,0.35,warn_within_5pct,79,0,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/magic/gf180mcu_3v3_12t_2r2w_sram_1024x8.mag,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8.gds,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.lef,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.spice,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.bb.sv,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.behavioral.sv,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.decode_contract.sv,macros/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.pins.json,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8.drc.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8.gds.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/summary.md
gf180mcu_3v3_12t_2r2w_sram_512x32,gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x32_source_full_control/magic/detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct.mag,9f875833ebc6538d55e0890ff1ba4e3f87f20bbb3c218e718b1b9f2112401d4b,512,32,128,4,16384,32,32,25.95,17.12,0.2,836.6,554.04,16.0,37.84,167.36,40.0,24.0,1003.96,618.04,0.620487438,37.871548,0.6,warn_within_5pct,171,0,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x32/magic/gf180mcu_3v3_12t_2r2w_sram_512x32.mag,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/layout/gf180mcu_3v3_12t_2r2w_sram_512x32.gds,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.lef,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.spice,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.bb.sv,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.behavioral.sv,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.decode_contract.sv,macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.pins.json,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x32/layout/gf180mcu_3v3_12t_2r2w_sram_512x32.drc.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x32/layout/gf180mcu_3v3_12t_2r2w_sram_512x32.gds.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x32/summary.md
gf180mcu_3v3_12t_2r2w_sram_512x8,gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control,detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct,reports/full_control_arrays_reference/gf180mcu_3v3_12t_2r2w_sram_512x8_source_full_control/magic/detronyx_12t_2w2r_rc4_4x4_routed_5layer_direct.mag,9f875833ebc6538d55e0890ff1ba4e3f87f20bbb3c218e718b1b9f2112401d4b,512,8,64,8,4096,16,16,25.95,17.12,0.2,418.2,276.92,16.0,37.84,167.36,40.0,24.0,585.56,340.92,0.199629115,48.737577,0.2,pass_max,75,0,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/magic/gf180mcu_3v3_12t_2r2w_sram_512x8.mag,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/layout/gf180mcu_3v3_12t_2r2w_sram_512x8.gds,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.lef,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.spice,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.bb.sv,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.behavioral.sv,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.decode_contract.sv,macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.pins.json,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/layout/gf180mcu_3v3_12t_2r2w_sram_512x8.drc.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/layout/gf180mcu_3v3_12t_2r2w_sram_512x8.gds.log,reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/summary.md
